ApplicationId,PublicMeetingDescription,PublicMeetingDate,PublicMeetingLink,PublicMeetingAddress1,PublicMeetingAddress2,PublicMeetingCity,PublicMeetingState,PublicMeetingPostal,PublicMeetingStartTime,PublicMeetingEndTime
DE413541,Regular Council Meeting,2014-01-21,http://former.vancouver.ca/ctyclerk/cclerk/20140121/regu20140121ag.htm,,,,,,,
DE413541,Public Hearing,2014-02-18,http://former.vancouver.ca/ctyclerk/cclerk/20140218/phea20140218ag.htm,,,,,,,
DE413541,Regular Council Meeting,2014-03-11,http://former.vancouver.ca/ctyclerk/cclerk/20140311/regu20140311ag.htm,,,,,,,
DE413541,Urban Design Panel,2010-07-14,http://former.vancouver.ca/commsvcs/planning/udp/2010/Minutes/Jul14.html#1,,,,,,,
DE413541,Community Open House,2013-01-14,,,,,,,,
DE419928,Community Open House,2016-02-23,,585 W 41st Ave,,Vancouver,British Columbia,V5Z2M7,17:00,20:00
DE416933,Regular Council Meeting,2015-04-28,http://former.vancouver.ca/ctyclerk/cclerk/20150428/regu20150428ag.htm,,,,,,,
DE416933,Public Hearing,2015-02-26,http://council.vancouver.ca/20150526/phea20150526ag.htm,,,,,,18:00,
DE416933,Community Open House,2015-02-25,,,,,,,,
DE416933,Community Open House,2015-08-08,,,,,,,,
